#,dist(asec),prob_member,link_ref,link_comment,identifier,typ,coord1_(ICRS_J2000/2000),Mag_U,Mag_B,Mag_V,Mag_R,Mag_I,spec_type,#bib,#not,RA,Dec
1,263.15,100,2011AJ....141...89S,B,2MASS J19532801+1847054,RG*,19 53 28.015 +18 47 05.46,~,~,~,~,~,~,2,0,298.366729166,18.7848500000
2,99.4,0,2008A&A...486..941A,B,Cl* NGC 6838 KC 224,*iC,19 53 39.7 +18 46 21,~,15.76,15.13,~,~,~,2,0,298.415416666,18.7724999999
3,118.67,86,2008A&A...486..941A,B,Cl* NGC 6838 KC 200,*iC,19 53 51.0 +18 48 25,~,16.83,15.53,~,~,~,2,0,298.4625,18.8069444444
4,112.37,99,2008A&A...486..941A,B,Cl* NGC 6838 ASC 616,*iC,19 53 54.4 +18 46 48,~,18.39,17.50,~,~,~,1,0,298.476666666,18.7799999999
5,85.76,20,2010A&A...513A..16H,S,[HBE2010] s22,X,19 53 49.38 +18 48 00.4,19.01,18.22,~,~,17.22,~,1,0,298.455749999,18.8001111111
6,196.1,100,2001A&A...373..159C,B,2MASS J19533986+1843530,RG*,19 53 39.868 +18 43 53.03,~,14.59,13.01,~,~,~,34,0,298.416116666,18.7313972222
7,90.96,0,2010A&A...513A..16H,S,[EHC2008] s26,X,19 53 50.841 +18 47 51.85,~,19.3,~,~,17.50,~,1,0,298.461837499,18.7977361111
8,131.85,100,2009A&A...505..117C,B,2MASS J19535534+1847247,RG*,19 53 55.345 +18 47 24.73,~,15.997,14.893,~,~,~,2,0,298.480604166,18.7902027777
9,19.36,100,2009A&A...505..117C,B,2MASS J19534573+1847012,RG*,19 53 45.736 +18 47 01.23,~,15.475,14.322,~,~,G...,16,0,298.440566666,18.7836750000
10,388.74,100,2009A&A...505..139C,B,2MASS J19534120+1840236,RG*,19 53 41.207 +18 40 23.68,~,14.694,13.240,~,~,~,2,0,298.421695833,18.6732444444
11,107.01,90,2008A&A...486..941A,B,Cl* NGC 6838 ASC 751,*iC,19 53 39.1 +18 47 06,~,18.67,17.83,~,~,~,1,0,298.412916666,18.785
12,135.12,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1693,*iC,19 53 52.4 +18 48 31,~,~,~,~,~,~,1,0,298.468333333,18.8086111111
13,34.56,~,2008A&A...486..941A,B,Cl* NGC 6838 ASC 1873,*iC,19 53 44.5 +18 47 05,~,~,~,~,~,~,1,0,298.435416666,18.7847222222
14,125.19,100,2009A&A...505..117C,B,2MASS J19535120+1848308,RG*,19 53 51.204 +18 48 30.89,~,15.560,14.385,~,~,~,1,0,298.46335,18.8085805555
15,51.78,90,2008A&A...486..941A,B,2MASS J19534288+1846374,AB*,19 53 42.884 +18 46 37.45,~,14.83,13.70,~,~,~,14,0,298.428683333,18.7770694444
